,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
1582,9599--16,衣服修改,6,12,31,14,17
1583,9599--17,開鎖及配鎖,6,19,51,24,27
1584,9599--99,其他未分類個人及家庭用品維修,6,18,56,30,26
1585,,洗衣業,,,,,
1586,9610--11,洗衣服務,6,12,57,43,14
1587,,美髮及美容美體業,,,,,
1588,9621--11,美髮院及髮廊,6,17,80,56,24
1589,9621--12,理髮店,6,16,79,56,23
1590,9622--11,美甲美睫,10,17,80,56,24
1591,9622--12,豪華理容總匯,10,28,90,50,40
1592,9622--99,其他美容美體服務,10,17,80,56,24
1593,,殯葬及相關服務業,,,,,
1594,9630--11,公墓經營,6,22,76,45,31
1595,9630--12,殯儀館經營,6,22,76,45,31
1596,9630--13,火化場經營,6,22,76,45,31
1597,9630--14,骨灰(骸)存放設施經營,6,22,76,45,31
1598,9630--15,殯葬禮儀服務,6,22,76,45,31
1599,9630--16,寵物殯葬,6,22,76,45,31
1600,9630--99,其他殯葬服務,6,22,76,45,31
1601,,其他個人服務業,,,,,
1602,9690--11,美姿禮儀造型設計,10,17,80,56,24
1603,9690--12,三溫暖浴室,6,13,74,57,17
1604,9690--13,溫泉湯屋,6,20,78,51,27
1605,9690--14,擦皮鞋,6,12,55,39,16
1606,9690--16,K書中心,6,13,39,20,19
1607,9690--20,字畫裱背,6,12,26,10,16
1608,9690--21,寵物照顧及訓練,10,17,80,56,24
1609,9690--99,未分類其他個人服務,6,8,32,22,10
