,標準代號,第8次 小業別,擴大書審純益率,所得額標準,毛利率,費用率,淨利率
259,1599--13,塑膠模紙製造,6,8,25,16,9
260,1599--99,其他未分類紙製品製造,6,7,26,18,8
261,,印刷及資料儲存媒體複製業,,,,,
262,1601--00,印刷,6,7,26,17,9
263,1602--11,製版,6,10,30,17,13
264,1602--12,印刷品裝訂及加工,6,8,32,22,10
265,1602--13,電腦排版、照相排版、印刷排版,6,11,31,17,14
266,1603--11,影音內容複製,6,7,31,22,9
267,1603--12,軟體內容複製,6,11,31,17,14
268,1603--13,錄音(影)帶內容複製,6,11,31,17,14
269,,石油及煤製品製造業,,,,,
270,1700--11,瀝青製造,6,7,21,13,8
271,1700--99,其他石油及煤製品製造,6,6,16,9,7
272,,化學原材料製造業,,,,,
273,107年度營利事業各業所得額暨同業利潤標準,,,,,,
274,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
275,,,,毛利率,費用率,淨利率,
276,1810--11,酸類製造,6,12,34,18,16
277,1810--12,固、液態氣體製造,6,13,44,26,18
278,1810--13,鹼類製造,6,12,32,16,16
279,1810--14,精密化學材料製造,6,7,17,8,9
280,1810--99,其他化學原材料製造,6,7,17,8,9
281,,肥料及氮化合物製造業,,,,,
282,1830--11,氮肥、磷肥、鉀肥製造,6,12,32,16,16
283,1830--12,其他複合肥料製造,6,12,30,13,17
284,,塑膠及合成橡膠原料製造業,,,,,
285,1841--11,聚酯粒製造,6,12,40,25,15
286,1841--12,ABS樹脂製造,6,12,40,24,16
287,1841--99,其他塑膠原料製造,6,12,40,24,16
288,1842--00,合成橡膠原料製造,6,9,30,19,11
289,,人造纖維製造業,,,,,
290,1850--11,尼龍纖維製造,6,10,34,22,12
291,1850--99,其他人造纖維製造,6,10,35,23,12
292,,農藥及環境用藥製造業,,,,,
293,1910--11,農藥製造,6,11,30,18,12
294,,塗料、染料及顏料製造業,,,,,
295,1920--11,塗料製造,6,7,20,12,8
296,1920--12,油墨製造,6,7,25,16,9
297,1920--13,染料及顏料製造,6,8,21,11,10
298,,清潔用品及化妝品製造業,,,,,
299,1930--11,肥皂製造,6,7,29,21,8
300,1930--12,清潔劑製造,6,8,23,13,10
301,1930--13,牙膏及口腔衛生清潔劑製造,6,7,19,10,9
302,1930--14,表面活性劑製造,6,9,28,17,11
303,1930--15,清潔用化粧品製造,6,7,30,21,9
304,1930--99,其他清潔用品及化粧品製造,6,11,47,31,16
305,,未分類其他化學製品製造業,,,,,
306,1990--11,電子工業用化學處理劑製造,6,9,22,11,11
307,1990--12,工業助劑製造,6,9,22,11,11
308,1990--99,其他未分類化學製品製造,6,6,27,20,7
309,,藥品及醫用化學製品製造業,,,,,
310,2002--11,人用西藥製造,6,13,41,22,19
311,2002--12,動物用西藥製造,6,11,33,20,13
312,2003--00,醫用生物製品製造,6,13,40,22,18
313,2004--00,中藥製造,6,11,34,20,14
314,2005--11,體外診斷試劑製造,6,13,40,22,18
315,,橡膠製品製造業,,,,,
316,2101--00,輪胎製造,6,8,27,18,9
317,2102--00,工業用橡膠製品製造,6,7,26,18,8
318,2109--11,橡膠鞋材製造,6,6,25,18,7
319,2109--99,未分類其他橡膠製品製造,6,7,26,18,8
320,,塑膠製品製造業,,,,,
321,2201--11,塑膠皮、塑膠布製造,6,7,21,12,9
322,2201--12,塑膠板、管材等製造,6,7,21,12,9
323,2202--11,塑膠膜製造,6,7,21,12,9
324,2202--12,塑膠袋製品製造,6,7,20,11,9
325,2203--00,塑膠外殼及配件製造,6,7,21,12,9
326,2209--11,塑膠日用品製造,6,7,21,12,9
327,2209--12,強化塑膠製品製造,6,9,29,18,11
328,107年度營利事業各業所得額暨同業利潤標準,,,,,,
329,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
330,,,,毛利率,費用率,淨利率,
331,2209--13,塑膠皮製品製造,6,7,25,17,8
332,2209--14,塑膠鞋材製造,6,6,21,14,7
333,2209--99,未分類其他塑膠製品製造,6,7,20,12,8
334,,玻璃及其製品製造業,,,,,
335,2311--00,平板玻璃及其製品製造,6,14,41,23,18
336,2312--00,玻璃容器製造,6,7,29,21,8
337,2313--00,玻璃纖維製造,6,10,32,21,11
338,2319--11,玻璃擺飾品製造,6,10,36,24,12
339,2319--99,未分類其他玻璃及其製品製造,6,7,36,27,9
340,,耐火、黏土建材及其他陶瓷製品製造業,,,,,
341,2321--00,耐火材料製造,6,7,28,15,13
342,2322--11,磚瓦製造,6,7,20,12,8
343,2322--12,陶瓷衛浴設備燒製,6,7,21,12,9
344,2329--11,陶瓷餐具燒製,6,7,21,13,8
345,2329--12,陶瓷裝飾品燒製,6,7,21,13,8
346,2329--13,科學用、工業用陶瓷製品燒製,6,7,21,12,9
347,2329--99,未分類其他陶瓷製品製造,6,7,21,13,8
348,,水泥及其製品製造業,,,,,
349,2331--00,水泥製造,6,14,38,22,16
350,2332--00,預拌混凝土製造,6,6,17,10,7
351,2333--00,水泥及混凝土製品製造,6,7,24,16,8
352,,石材製品製造業,,,,,
353,2340--11,石材家具及其製品製造,6,6,25,18,7
354,2340--12,石材建材及其製品製造,6,9,30,20,10
355,2340--99,其他石材製品製造,6,9,30,20,10
356,,其他非金屬礦物製品製造業,,,,,
357,2391--11,砂布、砂紙製造,6,6,17,10,7
358,2391--12,砂輪、磨輪、磨石製造,6,6,17,10,7
359,2391--99,其他研磨材料製造,6,6,17,10,7
360,2399--11,石棉製品製造,6,7,23,14,9
361,2399--12,瀝青混凝土製造,6,7,21,13,8
362,2399--13,石灰製造,6,8,20,10,10
363,2399--14,石膏製品製造,6,9,20,9,11
364,2399--15,砂石碎解加工(無涉及砂石開採),6,8,20,10,10
365,2399--99,其他未分類非金屬礦物製品製造,6,10,21,9,12
366,,鋼鐵製造業,,,,,
367,2411--00,鋼鐵冶鍊,6,7,22,14,8
368,2412--11,鑄管鑄造,6,7,27,19,8
369,2412--12,鑄鐵件鑄造,6,6,22,14,8
370,2412--13,鑄鋼件鑄造,6,6,22,14,8
371,2413--11,鋼板(捲)、鋼帶、鋼片製造,6,6,21,14,7
372,2413--12,型鋼製造,6,7,25,17,8
373,2413--13,鋼筋、棒鋼製造,6,7,25,17,8
374,2413--14,盤元線材製造,6,7,25,17,8
375,2413--15,鋼管製造,6,7,25,17,8
376,2414--00,鋼鐵伸線,6,7,17,9,8
377,,鋁製造業,,,,,
378,2421--11,鋁精鍊,6,6,28,21,7
379,2422--11,鋁合金鑄造,6,7,22,14,8
380,2422--12,再生鋁鑄造,6,7,22,14,8
381,2423--11,基本鋁件製造,6,7,25,16,9
382,,銅製造業,,,,,
383,107年度營利事業各業所得額暨同業利潤標準,,,,,,
384,標準代號,第8次 小業別,"擴大書審純益率","所得額標準",同業利潤標準,,
385,,,,毛利率,費用率,淨利率,
386,2432--00,銅鑄造,6,7,23,15,8
387,2433--11,基本銅件製造,6,7,24,15,9
388,,其他基本金屬製造業,,,,,
389,2491--00,其他基本金屬鑄造,6,7,25,17,8
390,2499--11,貴金屬製造,6,6,28,21,7
391,2499--12,銲棒、桿、條製造,6,8,24,14,10
392,2499--99,其他未分類基本金屬製造,6,6,24,17,7
393,,金屬刀具、手工具及模具製造業,,,,,
394,2511--11,農用手工具製造,6,6,20,13,7
395,2511--12,扳手製造,6,6,24,17,7
396,2511--13,鎖具及鑰匙製造,6,9,23,12,11
397,2511--99,其他金屬手工具製造,6,6,24,17,7
398,2512--11,塑膠成型模具製造,6,6,20,12,8
399,2512--99,其他金屬模具製造,6,8,25,15,10
400,,金屬結構及建築組件製造業,,,,,
401,2521--00,金屬結構製造,6,7,21,13,8
402,2522--11,金屬門窗(框)製造,6,7,22,14,8
403,2522--99,其他金屬建築組件製造,6,7,22,14,8
404,,金屬容器製造業,,,,,
405,2531--12,鍋爐製造,6,8,27,17,10
406,2539--11,鋼瓶(瓦斯鋼瓶除外)製造,6,7,22,13,9
407,2539--12,金屬罐製造,6,7,20,11,9
408,2539--99,未分類其他金屬容器製造,6,7,20,11,9
409,,金屬加工處理業,,,,,
410,2541--11,鋼鐵鍛品製造,6,9,29,18,11
411,2541--99,其他金屬鍛造,6,9,29,18,11
412,2542--00,粉末冶金,6,9,29,18,11
413,2543--11,鋼鐵熱處理,6,9,29,18,11
414,2543--99,其他金屬熱處理,6,9,29,18,11
415,2544--11,基本金屬表面處理,6,7,24,14,10
416,2544--12,金屬製品表面處理,6,7,24,14,10
417,2549--11,金屬裁剪、焊接處理,6,7,20,12,8
418,2549--99,未分類其他金屬加工處理,6,7,20,12,8
419,,其他金屬製品製造業,,,,,
420,2591--00,螺絲、螺帽及鉚釘製造,6,7,22,14,8
421,2592--11,金屬彈簧製造,6,6,25,18,7
422,2592--12,金屬線製品製造,6,6,25,18,7
423,2599--11,金屬把手製造,6,7,21,13,8
424,2599--12,金屬瓶蓋製造,6,6,20,12,8
425,2599--13,金屬軟管製造,6,7,30,21,9
426,2599--14,金屬鍋碗製造,6,7,21,13,8
427,2599--15,關門器製造,6,7,21,13,8
428,2599--16,鋼球、鋼珠製造,6,7,21,13,8
429,2599--17,金屬徽章製造,6,8,28,18,10
430,2599--99,其他未分類金屬製品製造,6,7,21,13,8
431,,半導體製造業,,,,,
432,2611--11,磊晶矽晶圓製造,6,9,25,14,11
433,2611--99,其他積體電路製造,6,8,24,14,10
434,2612--12,電晶體製造,6,8,24,14,10
435,2613--00,半導體封裝及測試,6,11,24,12,12
